Сумма	Текущая дата	Накопительная сумма	Статус	Бесконечность	Чек	Количество	Цена	Артикул	Дата
2144	25.02.2026	?	002	2144	IT010010	1	2144	0100597	01.03.2013
919	25.02.2026	?	002	919	IT010011	1	919	0100598	01.03.2013
798	25.02.2026	?	002	798	IT010011	1	798	0102341	01.03.2013
1007	25.02.2026	?	002	1007	IT010012	1	1007	0102342	01.03.2013
35264	25.02.2026	?	001	35264	IT010012	1	35264	0102392	01.03.2013
742	25.02.2026	?	002	371	IT010013	2	371	0102478	01.03.2013
1992	25.02.2026	?	002	996	IT010013	2	996	0102491	01.03.2013
1032	25.02.2026	?	002	1032	IT010014	1	1032	0102492	01.03.2013
1032	25.02.2026	?	002	1032	IT010015	1	1032	0102493	01.03.2013
35264	25.02.2026	?	001	35264	IT010015	1	35264	0102548	01.03.2013
371	25.02.2026	?	002	371	IT010016	1	371	0102549	01.03.2013
1396	25.02.2026	?	002	1396	IT010016	1	1396	0102584	01.03.2013
1992	25.02.2026	?	002	996	IT010017	2	996	0102721	01.03.2013
2064	25.02.2026	?	002	1032	IT010017	2	1032	0102722	01.03.2013
337	25.02.2026	?	002	337	IT010017	1	337	0102723	01.03.2013
6320	25.02.2026	?	002	6320	IT010017	1	6320	0103152	01.03.2013
1922	25.02.2026	?	002	1922	IT010017	1	1922	0105757	01.03.2013
736	25.02.2026	?	002	736	IT010018	1	736	0105759	01.03.2013
2119	25.02.2026	?	002	2119	IT010018	1	2119	0110145	01.03.2013
1439	25.02.2026	?	002	1439	IT010018	1	1439	0101041	01.03.2013
423	25.02.2026	?	002	423	IT010019	1	423	0105755	01.03.2013
1839	25.02.2026	?	002	1839	IT010019	1	1839	0102313	01.03.2013
1592	25.02.2026	?	002	1592	IT0100110	1	1592	0102339	01.03.2013
1592	25.02.2026	?	002	1592	IT0100110	1	1592	0102578	01.03.2013
7040	25.02.2026	?	002	7040	IT0100111	1	7040	0102440	01.03.2013
4392	25.02.2026	?	002	4392	IT0100111	1	4392	0102454	01.03.2013
1739	25.02.2026	?	002	1739	IT0100112	1	1739	0102461	01.03.2013
2318	25.02.2026	?	002	2318	IT0100112	1	2318	0102467	01.03.2013
4959	25.02.2026	?	002	4959	IT0100113	1	4959	0101326	01.03.2013
6072	25.02.2026	?	002	6072	IT0100113	1	6072	0101329	01.03.2013
4792	25.02.2026	?	002	4792	IT0100114	1	4792	0101330	01.03.2013
4278	25.02.2026	?	002	4278	IT0100115	1	4278	0101339	01.03.2013
1936	25.02.2026	?	002	968	IT0100116	2	968	0111515	01.03.2013
9191	25.02.2026	?	002	9191	IT0100116	1	9191	0101332	02.03.2013
7040	25.02.2026	?	002	7040	IT0100116	1	7040	0102440	02.03.2013
2194	25.02.2026	?	002	2194	IT0100116	1	2194	0102442	02.03.2013
2194	25.02.2026	?	002	2194	IT0100117	1	2194	0102447	02.03.2013
4392	25.02.2026	?	002	4392	IT0100118	1	4392	0102454	02.03.2013
3478	25.02.2026	?	002	1739	IT0100119	2	1739	0102461	02.03.2013
3984	25.02.2026	?	002	3984	IT0100119	1	3984	0102469	02.03.2013
3984	25.02.2026	?	002	3984	IT0100120	1	3984	0102470	02.03.2013
3984	25.02.2026	?	002	3984	IT0100121	1	3984	0102471	02.03.2013
