SAMPLE	IsTestSet	OBJECT
train	False	obj1
train	False	obj5
train	False	obj7
train	False	obj8
train	False	obj10
train	False	obj11
train	False	obj13
train	False	obj14
train	False	obj15
train	False	obj16
train	False	obj17
train	False	obj18
train	False	obj21
train	False	obj22
train	False	obj23
train	False	obj24
train	False	obj25
train	False	obj26
train	False	obj28
train	False	obj30
train	False	obj31
train	False	obj32
train	False	obj33
train	False	obj34
train	False	obj35
train	False	obj36
train	False	obj37
train	False	obj40
train	False	obj41
train	False	obj43
train	False	obj45
train	False	obj46
train	False	obj47
train	False	obj48
train	False	obj49
train	False	obj50
train	False	obj52
train	False	obj53
train	False	obj54
train	False	obj56
train	False	obj57
train	False	obj60
train	False	obj61
train	False	obj62
train	False	obj63
train	False	obj64
train	False	obj65
train	False	obj66
train	False	obj67
train	False	obj69
train	False	obj70
train	False	obj71
train	False	obj72
train	False	obj73
train	False	obj74
train	False	obj75
train	False	obj80
train	False	obj81
train	False	obj82
train	False	obj84
train	False	obj85
train	False	obj86
train	False	obj89
train	False	obj91
train	False	obj93
train	False	obj95
train	False	obj96
train	False	obj97
train	False	obj98
train	False	obj101
train	False	obj102
train	False	obj103
train	False	obj104
train	False	obj105
train	False	obj106
train	False	obj107
train	False	obj108
train	False	obj109
train	False	obj111
train	False	obj112
train	False	obj113
train	False	obj116
train	False	obj117
train	False	obj118
train	False	obj119
train	False	obj120
train	False	obj121
train	False	obj124
train	False	obj125
train	False	obj127
train	False	obj128
train	False	obj129
train	False	obj130
train	False	obj131
train	False	obj132
train	False	obj134
train	False	obj135
train	False	obj136
train	False	obj138
train	False	obj140
train	False	obj141
train	False	obj142
train	False	obj143
train	False	obj144
train	False	obj145
train	False	obj147
train	False	obj148
train	False	obj150
train	False	obj151
train	False	obj152
train	False	obj153
train	False	obj155
train	False	obj156
train	False	obj158
train	False	obj159
train	False	obj160
train	False	obj163
train	False	obj165
train	False	obj166
train	False	obj167
train	False	obj168
train	False	obj169
train	False	obj171
train	False	obj172
train	False	obj173
train	False	obj174
train	False	obj175
train	False	obj178
train	False	obj179
train	False	obj180
train	False	obj181
train	False	obj182
train	False	obj183
train	False	obj184
train	False	obj186
train	False	obj187
train	False	obj188
train	False	obj189
train	False	obj190
train	False	obj191
train	False	obj192
train	False	obj193
train	False	obj194
train	False	obj195
train	False	obj196
train	False	obj197
train	False	obj200
train	False	obj201
train	False	obj202
train	False	obj204
train	False	obj205
train	False	obj206
train	False	obj207
train	False	obj208
train	False	obj209
train	False	obj210
train	False	obj211
train	False	obj212
train	False	obj213
train	False	obj215
train	False	obj216
train	False	obj217
train	False	obj218
train	False	obj219
train	False	obj220
train	False	obj221
train	False	obj223
train	False	obj224
train	False	obj225
train	False	obj226
train	False	obj227
train	False	obj230
train	False	obj231
train	False	obj235
train	False	obj236
train	False	obj237
train	False	obj238
train	False	obj239
train	False	obj240
train	False	obj241
train	False	obj242
train	False	obj244
train	False	obj245
train	False	obj246
train	False	obj248
train	False	obj249
train	False	obj251
train	False	obj252
train	False	obj253
train	False	obj254
train	False	obj255
train	False	obj256
train	False	obj257
train	False	obj260
train	False	obj262
train	False	obj263
train	False	obj266
train	False	obj267
train	False	obj268
train	False	obj270
train	False	obj272
train	False	obj273
train	False	obj274
train	False	obj275
train	False	obj276
train	False	obj277
train	False	obj278
train	False	obj279
train	False	obj280
train	False	obj281
train	False	obj283
train	False	obj284
train	False	obj285
train	False	obj286
train	False	obj287
