order_id,distance_km,time_min
1,1.2,10.9
2,1.34,11.3
3,1.47,11.9
4,1.61,14.3
5,1.75,12.7
6,1.89,9.9
7,2.02,14.7
8,2.16,13.7
9,2.3,14.2
10,2.44,15.5
11,2.57,16.2
12,2.71,18.8
13,2.85,18.1
14,2.99,17.2
15,3.12,15.6
16,3.26,15.3
17,3.4,18.8
18,3.54,21.8
19,3.67,19.2
20,3.81,19.2
21,3.95,21.2
22,4.08,16.9
23,4.22,20.0
24,4.36,22.4
25,4.5,23.8
26,4.63,21.5
27,4.77,23.4
28,4.91,23.6
29,5.05,25.3
30,5.18,21.1
31,5.32,25.6
32,5.46,21.1
33,5.6,18.9
34,5.73,24.1
35,5.87,23.8
36,6.01,28.5
37,6.15,28.5
38,6.28,24.4
39,6.42,29.8
40,6.56,25.8
41,6.69,28.4
42,6.83,28.3
43,6.97,29.7
44,7.11,31.9
45,7.24,31.8
46,7.38,31.6
47,7.52,32.7
48,7.66,32.8
49,7.79,30.5
50,7.93,30.8
51,8.07,31.8
52,8.21,34.6
53,8.34,33.2
54,8.48,39.8
55,8.62,32.7
56,8.76,32.5
57,8.89,37.3
58,9.03,39.4
59,9.17,37.6
60,9.31,38.8
61,9.44,40.7
62,9.58,37.5
63,9.72,34.7
64,9.85,37.3
65,9.99,41.3
66,10.13,35.9
67,10.27,39.9
68,10.4,40.9
69,10.54,39.9
70,10.68,42.9
71,10.82,43.0
72,10.95,47.6
73,11.09,43.9
74,11.23,41.4
75,11.37,42.0
76,11.5,41.7
77,11.64,46.5
78,11.78,43.2
79,11.92,44.9
80,12.05,47.3
81,12.19,44.2
82,12.33,45.6
83,12.46,42.3
84,12.6,44.6
85,12.74,46.3
86,12.88,49.1
87,13.01,51.3
88,13.15,48.9
89,13.29,50.0
90,13.43,50.2
91,13.56,52.8
92,13.7,52.8
93,13.84,51.8
94,13.98,49.1
95,14.11,54.1
96,14.25,53.3
97,14.39,55.8
98,14.53,53.2
99,14.66,58.4
100,14.8,53.3
